Country Name,NY.GDP.MKTP.CD,IT.NET.SECR.P6,NE.EXP.GNFS.ZS,NE.IMP.GNFS.ZS,SP.POP.TOTL
Guatemala,73208583759,78.66910953,18.19896999,28.88946063,16346950
Guam,6051000000,856.608554,19.25301603,53.80928772,165770
Guyana,4787635821,47.49636396,,,779007
High income,5.44998E+13,34309.60581,31.70007902,30.52917425,1205941621
"Hong Kong SAR, China",3.61692E+11,19403.56999,188.3601006,188.5738835,7451000
Honduras,24067778954,74.78469674,41.45481656,62.09634565,9587523
Heavily indebted poor countries (HIPC),7.66786E+11,15.1646881,24.36755723,32.64706678,780234453
Croatia,61375222347,19554.81167,50.20114906,51.0468672,4087843
Haiti,15965670198,5.304237106,11.07670651,35.30128809,11123183
Hungary,1.60431E+11,19243.90245,83.88604125,79.48349809,9775564
IBRD only,3.04172E+13,1261.40788,25.85702411,25.32858387,4777365115
IDA & IBRD total,3.25525E+13,960.1692977,25.41766519,25.42927604,6410926655
IDA total,2.1349E+12,74.06990971,19.2272775,26.84798754,1633561540
IDA blend,9.59604E+11,149.1437858,15.84125566,21.41737415,549127807
Indonesia,1.04227E+12,1282.965202,21.0027465,22.07156246,267670549
IDA only,1.17742E+12,35.72044862,22.9655441,32.84354268,1084433733
Isle of Man,7491969313,8254.731008,,,84073
India,2.70111E+12,187.8042726,19.94124068,23.65741648,1352642283
Not classified,,,,,
Ireland,3.84854E+11,69593.59121,122.9903788,94.43484531,4867316
"Iran, Islamic Rep.",2.94357E+11,494.5953436,33.22827601,31.82256498,81800204
Iraq,2.12272E+11,11.31822038,43.70431275,26.77695866,38433604
Iceland,26267063758,64762.23417,46.63866197,43.31466244,352721
Israel,3.70456E+11,9611.946683,30.25600529,29.414828,8882800
Italy,2.09112E+12,12257.96799,31.35046232,28.94714219,60421760
Jamaica,15730793853,153.6703883,38.56384829,51.41405776,2934853
Jordan,42932112676,102.8566864,35.15474808,53.37676909,9965322
Japan,5.03689E+12,11670.80142,18.32945096,18.30947576,126529100
Kazakhstan,1.7934E+11,1374.172624,37.62521843,25.90273809,18276452
Kenya,87778582964,217.2298447,13.17413956,22.97524877,51392570
Kyrgyz Republic,8271106196,170.0196116,31.60173001,67.2738299,6322800
Cambodia,24571753584,81.10871553,61.59572751,63.30288532,16249795
Kiribati,196737896,43.16223822,9.63032729,88.76208633,115842
St. Kitts and Nevis,1010822222,4462.412754,,,52438
"Korea, Rep.",1.72485E+12,2065.122133,41.71329084,37.27557467,51606633
Kuwait,1.38182E+11,412.1031181,57.49549488,45.61996357,4137314
Latin America & Caribbean (excluding high income),4.89796E+12,1048.771592,22.64613761,23.98784976,583432088
Lao PDR,17953786416,20.39227371,,,7061498
Lebanon,54961275742,174.2132849,20.72220081,47.43262999,6859408
Liberia,3264000000,2.28264262,26.01102941,94.33210784,4818976
Libya,52607888718,1099.787155,56.94907682,35.82353861,6678565
St. Lucia,2065875074,252.9001045,,,181890
Latin America & Caribbean,5.69606E+12,1235.098006,23.54638079,24.61812118,640483586
Least developed countries: UN classification,1.07797E+12,34.49858483,23.85675739,30.31129208,1009691252
Low income,4.21206E+11,9.469059103,19.73754567,31.80260763,631147232
Liechtenstein,6839145107,35154.80774,,,37918
Sri Lanka,87954272082,412.4134749,23.03852264,30.46896651,21670000
Lower middle income,7.33671E+12,383.7576454,25.26556294,29.67900131,3240031866
Low & middle income,3.13425E+13,832.2162336,24.74702277,24.83599234,6357646877
Lesotho,2514146888,39.36770719,50.94708959,94.4407332,2108327
Late-demographic dividend,2.25185E+13,1793.307146,28.79391363,25.90758123,2287851415
Lithuania,53696648755,18267.07639,75.24534101,73.39401059,2801543
Luxembourg,70885325883,43151.57497,211.5590487,175.544291,607950
Latvia,34399206590,14504.13922,61.4162033,62.20702664,1927174
"Macao SAR, China",55302446578,2650.273181,82.49284881,33.04713627,631633
St. Martin (French part),,295.1910691,,,37264
Morocco,1.18096E+11,295.7332615,38.77747836,49.19830432,36029089
Monaco,7194024563,10650.94876,,,38682
Moldova,11456728401,3917.711082,30.13870506,55.72752032,2708214
Madagascar,13614412551,5.445064949,29.1796692,34.40669344,26262313
Maldives,5299773144,523.5561485,70.12943357,83.73775329,515704
Middle East & North Africa,3.32022E+12,423.0554595,44.66338599,37.43589252,448974232
Mexico,1.22235E+12,225.7454907,39.25946124,41.30383848,126190782
Marshall Islands,221588900,136.9581593,40.39042569,85.16085418,58412
Middle income,3.09176E+13,918.1525057,24.80338196,24.75761435,5726499645
North Macedonia,12679934731,464.7239477,60.37513882,72.84005944,2082957
Mali,17070866299,10.53583087,24.5223744,35.6224084,19077755
Malta,14864712990,14415.12081,142.4764462,126.4278642,484630
Myanmar,68697759361,9.197830399,30.38975072,30.2992385,53708318
Middle East & North Africa (excluding high income),1.28677E+12,192.4246135,31.76817637,34.45426101,382955167
Montenegro,5506767832,416.2468038,42.87499107,66.73428218,622227
Mongolia,13108769496,1689.791289,58.47234962,64.02693556,3170214
Northern Mariana Islands,1302000000,246.0932693,50.76804916,58.14132104,56889
Mozambique,14845870051,11.83210922,44.87000288,82.33415399,29496009
Mauritania,7050987978,5.450442758,39.26922062,57.2859004,4403312
Mauritius,14181930162,7844.761294,40.96343734,54.02072909,1265303
Malawi,9712994565,15.37764944,,,18143215
Malaysia,3.58715E+11,5713.137892,68.56958314,61.86083622,31528033
North America,2.23409E+13,62270.92997,14.01601503,16.81361621,363967296
Namibia,13681065175,149.4914839,35.76883675,45.83464176,2448300
New Caledonia,,3491.59431,,,270650
Niger,12846952857,0.490134244,11.28875624,26.22121586,22442831
Nigeria,3.9719E+11,184.2096134,15.49688918,17.51094431,195874685
Nicaragua,13025208220,69.29083001,42.27749296,51.70747493,6465502
Netherlands,9.13597E+11,100581.5238,84.68346368,74.13974653,17231624
Norway,4.37E+11,20886.24895,37.97169307,32.23793579,5311916
Nepal,33111525183,182.44777,7.815641022,40.63174592,28095712
Nauru,124021393.7,93.65049635,26.25,79.375,10678
New Zealand,2.12226E+11,17618.04677,27.59250263,27.90092625,4900600
OECD members,5.34231E+13,30122.68051,28.5719183,28.38427714,1358019416
Oman,79788768969,156.7457836,52.08520131,38.36521444,4829476
Other small states,4.42937E+11,4682.763452,60.0317906,49.38931657,30760469
Pakistan,3.14568E+11,109.1324828,8.971966445,20.0713554,212228288
Panama,64928300000,2141.556784,42.69201565,46.99876633,4176868
Peru,2.22575E+11,257.3363283,25.19473312,23.44165662,31989265
Philippines,3.46842E+11,92.85391994,30.21360537,41.94979293,106651394
Palau,280435700,837.4741779,47.61483648,77.49509067,17911
Papua New Guinea,24109509853,49.84706595,,,8606324
Poland,5.87409E+11,16227.07194,55.24146204,52.17880281,37974750
Pre-demographic dividend,1.334E+12,61.19309262,25.27496769,24.82173847,919485090
Puerto Rico,1.00925E+11,384.8618099,60.01862769,46.03666089,3193354
"Korea, Dem. People's Rep.",,,,,25549606
Portugal,2.42195E+11,15977.32827,43.44571903,42.9830419,10283822
Paraguay,40225448341,248.4161672,36.94523036,35.58335571,6956069
West Bank and Gaza,16276600000,469.0214916,15.96156445,55.439711,4569087
Pacific island small states,10648756158,168.2050848,42.85632082,58.51569932,2455336
Post-demographic dividend,5.04423E+13,36397.21175,29.53693182,29.23004416,1109795203
French Polynesia,,741.8798371,,,277673
Qatar,1.83335E+11,396.5226794,55.94186317,35.89658581,2781682
Romania,2.41457E+11,15938.09583,41.8616969,45.27496024,19473970
Russian Federation,1.65733E+12,5190.622322,30.7932713,20.78765336,144477859
Rwanda,9640280084,36.49822236,21.10059751,34.66392775,12301969
South Asia,3.43688E+12,172.1381885,18.58286494,23.75967658,1814455018
Saudi Arabia,7.86522E+11,161.5594831,40.03914062,26.64762569,33702757
Sudan,34522586970,4.617055662,7.638684252,14.19631131,41801532
Senegal,23116699808,17.15620294,22.94909148,38.840748,15854324
Singapore,3.75982E+11,84713.85836,177.0613454,148.2809428,5638676
Solomon Islands,1574599183,42.8884777,43.45951126,47.77990736,652856
Sierra Leone,4085114794,,17.46729933,39.22853131,7650149
El Salvador,26020850000,90.64375757,28.93437378,46.69920468,6420740
San Marino,1655300873,59258.82074,166.5974977,142.8904588,33784
Somalia,4720727283,4.330958524,23.71374578,108.5449702,15008225
Serbia,50640650221,6899.718214,50.4345613,59.06030441,6982604
Sub-Saharan Africa (excluding high income),1.72231E+12,711.4921485,24.20998653,26.45103416,1078222750
South Sudan,,1.366627539,,,10975924
Sub-Saharan Africa,1.7239E+12,735.3101034,24.25638496,26.50665651,1078319512
Small states,5.29018E+11,3745.828623,58.28115895,49.43382576,40574734
Sao Tome and Principe,412253809.7,56.86341408,,,211032
Suriname,3996247906,291.6732496,55.29474884,51.55925156,575987
Slovak Republic,1.05475E+11,12993.38636,96.37550237,94.48357569,5446771
Slovenia,54137142149,33018.08096,84.81520323,76.36987144,2073894
Sweden,5.55455E+11,18608.45384,45.68306151,43.44813688,10175214
Eswatini,4665424249,53.68423461,40.44200783,44.3268023,1136274
Sint Maarten (Dutch part),1185474860,787.1304177,67.48350613,104.2412818,40654
Seychelles,1586009000,264256.6297,84.10338114,98.25113205,96762
Syrian Arab Republic,,19.06160036,,,16945062
Turks and Caicos Islands,1113178000,743.3562535,,,37667
Chad,11239167048,0.45226279,36.19068245,38.01407128,15477727
East Asia & Pacific (IDA & IBRD countries),1.65551E+13,680.4492945,23.47540806,22.77232554,2056073849
Europe & Central Asia (IDA & IBRD countries),4.07037E+12,6122.714685,36.98237547,32.72941258,458994120
Togo,7112200725,7.732192349,23.94347526,32.74545893,7889095
Thailand,5.06611E+11,953.859638,64.85646849,56.01963625,69428454
Tajikistan,7765014424,27.36009077,14.37547847,41.47063294,9100847
Turkmenistan,40765428571,5.981983633,22.66381177,12.49588237,5850902
Latin America & the Caribbean (IDA & IBRD countries),5.45396E+12,1243.808857,23.10924767,24.38798283,624698076
Timor-Leste,1559894900,29.18038605,2.924197008,60.49619753,1267975
Middle East & North Africa (IDA & IBRD countries),1.27048E+12,189.0846513,31.94466861,34.21994331,378386080
Tonga,489235527.4,174.4202948,21.20120203,65.66019889,103199
South Asia (IDA & IBRD),3.43688E+12,172.1381885,18.58286494,23.75967658,1814455018
Sub-Saharan Africa (IDA & IBRD countries),1.7239E+12,735.3101034,24.25638496,26.50665651,1078319512
Trinidad and Tobago,23679919655,281.3271446,,,1389841
Tunisia,39770478673,316.2071604,48.49248322,61.47224696,11565203
Turkey,7.78377E+11,4334.06133,31.20486295,31.34254384,82340090
Tuvalu,42588164.97,86.91873099,,,11505
Tanzania,57003713748,27.29366011,14.73914339,17.90346651,56313444
Uganda,32912338571,20.22044403,15.09378562,21.56096978,42729032
Ukraine,1.30902E+11,6027.80865,45.19931495,53.91968086,44622518
Upper middle income,2.35809E+13,1615.007981,24.65685203,23.19733703,2486467779
Uruguay,64515038268,1574.816846,26.3964363,21.42891404,3449290
United States,2.06119E+13,65833.81033,12.29151996,15.18396136,326838199
Uzbekistan,50392607758,278.9468414,28.04225271,38.5857319,32956100
St. Vincent and the Grenadines,811300000,90.73586789,,,110210
"Venezuela, RB",,275.4168926,,,28887117
British Virgin Islands,,330793.7573,,,29795
Virgin Islands (U.S.),3984000000,859.8050486,53.71485944,101.4809237,107001
Vietnam,2.45214E+11,1769.368394,105.8318051,102.4748608,95545959
Vanuatu,914727908.1,198.1720338,56.61053279,60.02322097,292675
World,8.61393E+13,6171.416896,29.23984675,28.51472918,7592475615
Samoa,821496064.5,535.3646598,34.18126323,50.22479619,196128
Kosovo,7942961738,,28.81771457,56.79697745,1797085
"Yemen, Rep.",23486269599,3.754559465,,,28498683
South Africa,3.68289E+11,12031.59163,29.9070826,29.56325111,57792520
Zambia,26311637647,41.20630388,37.9573531,36.93089354,17351714
Zimbabwe,19523622342,46.61048291,11.608991,18.94328155,14438812
